y,x,이디야 매장수,스타벅스 매장수,커피빈 매장수,빽다방 매장수,커피지수
17.0,5.0,0.0,0.0,0.0,0.0,0.0
18.0,2.0,3.0,0.0,0.0,1.0,0.0
18.0,4.0,0.0,0.0,0.0,0.0,0.0
26.0,5.0,7.0,12.0,0.0,5.0,1.0
25.0,5.0,6.0,13.0,0.0,4.0,1.3
14.0,4.0,1.0,1.0,0.0,0.0,1.0
12.0,4.0,5.0,2.0,0.0,1.0,0.3333333333333333
15.0,3.0,0.0,0.0,0.0,0.0,0.0
14.0,3.0,2.0,1.0,0.0,0.0,0.5
12.0,1.0,7.0,4.0,0.0,3.0,0.4
11.0,2.0,5.0,6.0,1.0,4.0,0.7777777777777778
13.0,2.0,1.0,2.0,0.0,1.0,1.0
14.0,2.0,2.0,0.0,0.0,0.0,0.0
11.0,3.0,14.0,12.0,0.0,6.0,0.6
13.0,1.0,6.0,4.0,0.0,1.0,0.5714285714285714
15.0,2.0,2.0,1.0,0.0,0.0,0.5
11.0,1.0,8.0,9.0,0.0,4.0,0.75
12.0,3.0,7.0,1.0,0.0,0.0,0.14285714285714285
13.0,3.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,2.0,0.0,0.0,0.0,0.0
12.0,2.0,4.0,0.0,0.0,2.0,0.0
12.0,8.0,2.0,0.0,0.0,0.0,0.0
11.0,7.0,1.0,0.0,0.0,0.0,0.0
13.0,8.0,2.0,1.0,0.0,0.0,0.5
14.0,6.0,9.0,5.0,1.0,2.0,0.5454545454545454
14.0,7.0,6.0,4.0,0.0,3.0,0.4444444444444444
15.0,7.0,2.0,0.0,0.0,0.0,0.0
15.0,6.0,1.0,0.0,0.0,0.0,0.0
11.0,5.0,3.0,2.0,1.0,0.0,1.0
10.0,7.0,5.0,1.0,2.0,0.0,0.6
13.0,6.0,3.0,1.0,0.0,0.0,0.3333333333333333
12.0,5.0,4.0,1.0,0.0,0.0,0.25
13.0,7.0,8.0,3.0,0.0,1.0,0.3333333333333333
12.0,6.0,6.0,6.0,0.0,1.0,0.8571428571428571
12.0,7.0,13.0,10.0,1.0,4.0,0.6470588235294118
